No.,회계연도,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,정부안금액(천원),국회확정금액(천원)
"1","2026","감사원","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","50,000",0
"2","2026","감사원","일반회계","","수입대체경비수입","잡수입","기타잡수입","일반수입","636,000",0
"3","2026","감사원","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","12,000",0
"4","2026","감사원","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","1,000",0
"5","2026","감사원","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","116,000",0
"6","2026","개인정보보호위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","18,000",0
"7","2026","개인정보보호위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","1,329,000",0
"8","2026","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","49,909,000",0
"9","2026","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","746,000",0
"10","2026","개인정보보호위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000",0
"11","2026","개인정보보호위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","129,000",0
"12","2026","개인정보보호위원회","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","1,000",0
"13","2026","개인정보보호위원회","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","1,000",0
"14","2026","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","40,000",0
"15","2026","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","6,000",0
"16","2026","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","25,000",0
"17","2026","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","30,144,000",0
"18","2026","경찰청","경찰병원","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","4,151,000",0
"19","2026","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","일반수입","113,000",0
"20","2026","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000",0
"21","2026","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","일반수입","6,363,000",0
"22","2026","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","40,000",0
"23","2026","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","52,208,000",0
"24","2026","경찰청","경찰병원","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","833,000",0
